food_id,nutrient_id,quantity
16,0,52
16,1,13.81
16,2,2.4
16,3,0.26
16,4,0
16,5,0.17
16,6,0.01
16,7,0.05
16,8,0.03
16,9,0
16,10,0.01
16,11,0.00000271
16,12,0.00002
16,13,0.00003
16,14,0.00009
16,15,0.00006
16,16,0.00004
16,17,0
16,18,0.0046
16,19,0
16,20,0.00021
16,21,0.0000022
16,22,0.0034
16,23,0.000003
16,24,0.006
16,27,0.00003
16,29,0.0000001
16,30,0.00012
16,31,0.005
16,32,0.00004
16,33,0.011
16,34,0.107
16,35,0
16,36,0.001
16,38,0.00004
16,40,0
16,45,0.00000002
16,55,10.39
16,56,2.43
16,57,5.9
16,58,2.07
16,59,0
17,0,120
17,1,7.82
17,2,5.6
17,3,2.23
17,4,0
17,5,10.06
17,6,5.51
17,7,1.68
17,8,1.96
17,9,0
17,10,0.09
17,11,0.00000704
17,12,0.00002
17,13,0.00005
17,14,0.00067
17,15,0.00093
17,16,0.00008
17,17,0
17,18,0.0174
17,19,0
17,20,0.00266
17,21,0.000021
17,22,0.0142
17,23,0.000035
17,24,0.01
17,27,0.00031
17,30,0.00017
17,31,0.024
17,32,0.0001
17,33,0.04
17,34,0.351
17,35,0.0000004
17,36,0.002
17,38,0.0004
17,40,0
17,55,2.42
17,56,2.17
17,57,0.25
17,58,0
17,59,0
18,0,89
18,1,22.84
18,2,2.6
18,3,1.09
18,4,0
18,5,0.33
18,6,0.03
18,7,0.07
18,8,0.11
18,9,0
18,10,0.03
18,11,0.00000321
18,12,0.00003
18,13,0.00007
18,14,0.00067
18,15,0.00033
18,16,0.00037
18,17,0
18,18,0.0087
18,19,0
18,20,0.00013
18,21,0.0000005
18,22,0.0098
18,23,0.00002
18,24,0.005
18,27,0.00008
18,29,0.0000003
18,30,0.00026
18,31,0.027
18,32,0.00027
18,33,0.022
18,34,0.358
18,35,0.000001
18,36,0.001
18,38,0.00015
18,40,0
18,45,0.00000013
18,55,12.23
18,56,4.98
18,57,4.85
18,58,2.39
18,59,0
19,0,251
19,1,63.95
19,2,25.3
19,3,10.39
19,4,0
19,5,3.26
19,6,0.74
19,7,1
19,8,1.39
19,9,0
19,10,0.15
19,11,0.00002738
19,12,0.00011
19,13,0.00018
19,14,0.00114
19,15,0.0014
19,16,0.00029
19,17,0
19,18,0
19,19,0
19,20,0.00104
19,21,0.0001637
19,22,0.0113
19,23,0.000017
19,24,0.443
19,27,0.00133
19,30,0.00971
19,31,0.171
19,32,0.01275
19,33,0.158
19,34,1.329
19,35,0.0000049
19,36,0.02
19,38,0.00119
19,40,0
19,55,0.64
19,56,0.24
19,57,0.23
19,58,0.02
19,59,0
20,0,1
20,1,0.2
20,2,0
20,3,0
20,4,0
20,5,0
20,6,0.01
20,7,0.01
20,8,0.01
20,9,0
20,10,0.01
20,11,0.000001
20,12,0.00001
20,13,0.00001
20,14,0
20,15,0.00001
20,16,0
20,17,0
20,18,0
20,19,0
20,20,0
20,21,0
20,22,0
20,23,0.000001
20,24,0.002
20,27,0.00002
20,30,0.00008
20,31,0.001
20,32,0.00004
20,33,0
20,34,0.009
20,35,0
20,36,0.001
20,38,0.00004
20,40,0
20,55,0
20,56,0
20,57,0
20,58,0
20,59,0
21,0,486
21,1,42.12
21,2,34.4
21,3,16.54
21,4,0
21,5,30.74
21,6,2.31
21,7,23.67
21,8,3.78
21,9,0.14
21,10,17.83
21,11,0.0000022
21,12,0.00018
21,13,0.00004
21,14,0.00613
21,15,0.0006
21,16,0.00139
21,17,0
21,18,0.0016
21,19,0
21,20,0.0005
21,21,0.0007089
21,22,0.0655
21,23,0.000049
21,24,0.631
21,27,0.00092
21,30,0.0164
21,31,0.39
21,32,0.00272
21,33,0.86
21,34,0.407
21,35,0.0000552
21,36,0.016
21,38,0.00458
21,40,0
21,55,0.93
21,56,0.24
21,57,0
21,58,0.69
21,59,0
22,0,184
22,1,0
22,2,0
22,3,27.39
22,4,0.075
22,5,7.42
22,6,2.9
22,7,1.58
22,8,2.08
22,9,0.15
22,10,0.1
22,11,0.000025
22,12,0.00004
22,13,0.00012
22,14,0.00781
22,15,0.00055
22,16,0.00029
22,17,0.00000021
22,18,0
22,19,0.000000125
22,20,0.00027
22,21,0.0000002
22,22,0.0644
22,23,0.000003
22,24,0.013
22,27,0.00004
22,30,0.00092
22,31,0.022
22,32,0.00002
22,33,0.156
22,34,0.178
22,35,0.0000218
22,36,0.062
22,38,0.00097
22,40,0
22,55,0
22,56,0
22,57,0
22,58,0
22,59,0
23,0,155
23,1,1.12
23,2,0
23,3,12.58
23,4,0.373
23,5,10.61
23,6,4.08
23,7,1.41
23,8,3.27
23,9,0
23,10,0.07
23,11,0.00014933
23,12,0.00007
23,13,0.00051
23,14,0.00006
23,15,0.0014
23,16,0.00012
23,17,0.00000111
23,18,0
23,19,0.000002175
23,20,0.00103
23,21,0.0000003
23,22,0.2938
23,23,0.000044
